id,shop_name,display_name,brand_name,original_price,sale_price,image_url,rank
68,kurly,리얼 청 (3종) 오미자청/생강청/매실청 310mL,백설,4980.0,4620,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/80b0c286-2773-479b-b775-0aa74babcc3e.jpg,68
69,kurly,에브리타임 샷 (20일분)(+쇼핑백증정),정관장,59000.0,50150,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/17a0d12c-f756-4c7a-98ad-5c1e49310366.jpg,69
70,kurly,짜먹는 생 들기름 (10개입),지리산처럼,,7800,https://img-cf.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/shop/data/goods/1499223769356l0.jpg,70
71,kurly,사양벌꿀 1kg,가보팜스,15900.0,12300,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/75eedb6d-823a-448f-b0b6-f1dd38fb578b.jpg,71
72,kurly,타이거 생강 진저샷 350g 3개입,타이거모닝,84000.0,50950,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/1b7728aa-a90b-4edf-8563-33c844b5385e.jpg,72
73,kurly,저온착즙 100% 진짜양배추즙 100ml 30팩,김재식헬스푸드,24900.0,20040,https://img-cf.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/shop/data/goods/1618983004268l0.jpg,73
74,kurly,유기농 어린이 배도라지즙 2종 (100mL X 10포),몸애쏙쏙,15900.0,13320,https://img-cf.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/shop/data/goods/1570437357849l0.jpg,74
75,kurly,프리미엄 아카시아꿀 2종 (500g/1kg),가보팜스,18900.0,16900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/b9cbcbbb-3d05-4fe9-9153-1a1b0340c05c.jpg,75
76,kurly,카무트 브랜드밀 효소골드 30포,이영애의 건강미식,119200.0,22300,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/54b040da-8885-4a2e-8439-5c5d4ac689fd.jpg,76
77,kurly,이너플로라 유산균 (30일분),뉴오리진,50000.0,19240,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/97839185-778b-4b5a-8909-d7a361fcb731.jpg,77
